erp_code,id,name,phone,phone_ext,type
000537,22791,ARX FIT LLC                        ,5126333768,,customer
000359,22747,ASCENDANT ENGINEERING SOLUTIONS   ,5123715704,,customer
,593490,ASRC Federal,9734392802,,customer
000090,22371,ASTRO MODEL DEVELOPMENT CORPORATION,4409468171,,customer
,787629,Astrotech Corp.,,,customer
,654389,Astute,,,customer
000048,22328,"ATHENA MANUFACTURING, LP           ",5129282693,,customer
,22209,Athena MFG,5129453936,,customer
000551,22534,"AUKUA SYSTEMS, INC                 ",5126804947,,customer
000343,22716,"AUSTIN AI, INC.                   ",5128379400,,customer
000007,22289,AUSTIN DYNAMICS                    ,5122673117,,customer
,657849,Austin Motor Works,,,customer
000151,22573,"AUSTIN WATERJET, INC.             ",5122439000,,customer
000378,22845,"AUTOFLUG SAFETY SYSTEMS, INC.     ",9157788300,,customer
,415402,Automation Supply and Engineering,8323287806,,customer
000137,22607,"AVAI VENTURES, INC.                ",5123019445,,customer
000257,22717,AVANT                             ,5126515324,,customer
,388824,Axiom Space Inc,3462937045,,customer
000668,43190,Ayro,,,customer
000249,22682,BAE AUSTIN                         ,5129292494,,customer
,421756,BAE Florida,8503440836,,customer
000028,22307,BAKER OIL TOOLS                    ,8002886657,,customer
000049,22322,BAKER SPD                          ,8882696907,,customer
,415356,Baltimore Fabrication,4105220030,,customer
,478193,BANISTER MEDICAL,,,customer
000261,22719,BANTAM ELECTRONICS                ,5127193560,,customer
000092,22373,BA PRODUCTS                        ,8308959800,,customer
,641519,Base Power Camp,,,customer
000200,22648,BAY ADVANCED TECHNOLOGIES         ,5129295400,,customer
,419277,BCI Acrylic Inc.,8009638827,,customer
000176,22417,B E AEROSPACE,5863231700,,customer
000569,22531,B/E AEROSPACE                      ,2626796170,,customer
000320,22728,BELL TEXTRON INC.                  ,8175901254,,customer
000526,22491,BELL TEXTRON INC.-OZARK            ,3344455358,,customer
000562,22546,BENCHMARK                          ,9798496550,,customer
000198,22633,"BENFORD TOOLS, LLC AKA BARBMASTER ",8176455320,,customer
,477235,Besser Company World Headquarters,8009680444,,customer
000563,22547,BGA ASSOCIATES AUSTIN LLC          ,7136645462,,customer
,388710,Bhayana Brothers,4129217424,,customer
000595,22555,BIG BOY SHOOTING GALLERIES         ,8477360791,,customer
000628,22586,BILL MCCLUNG INC.                  ,8306935082,,customer
000544,22508,BILLY BOXES                        ,5122225632,,customer
000312,22725,BIOMETRIC ACCESS COMPANY          ,5122463760,,customer
,27259,"BISHOP AVIATION, INC",,,customer
000094,22350,BJK MACHINING                      ,5123033311,,customer
,94130,Blackbridge,,,customer
,450797,BlackHawk Industrial,,,customer
,696941,Bluebonnet Ordnance,,,customer
,393921,Bobcat Company,7016808371,,customer
,391742,Bock Water Heaters Inc,6082572225,,customer
,651149,"Bodycote K-Tech Inc,",5017601696,,customer
000063,22337,"BOEDEKER PLASTICS, INC.            ",8004443485,,customer
000576,22824,BOEING COMMERCIAL AIRPLANE         ,4252377139,,customer
000524,22489,BOEING COMMERCIAL AIRPLANE CO,4252441736,,customer
,81113,Boeing Defense,,,customer
000493,22448,BOGUS CUSTOMER                     ,5555550000,,customer
000415,22787,BRENNER AEROSTRUCTURES,2156383884,,customer
,393978,Bridgestone,3307052112,,customer
000625,22593,BRIGGO INC                         ,7372162529,,customer
000588,22543,BRISKHEAT CORPORATION              ,6142943376,,customer
,493290,Bristol Machine Co,9095988601,,customer
000324,22709,BROADBAND INSTRUMENTS CORP.       ,5127872007,,customer
000129,22364,BROOKHAVEN INSTRUMENTS CORPORATION ,5122583646,,customer
,27245,Brooks Industrial Coating,5129905333,,customer
000478,22436,BROOKS INSTRUMENT PRODUCTS LLC     ,2153623500,,customer
,478458,Brunswick Steel,2042241472,,customer
000699,391734,"Build: CR, LLC dba Composite Resources",8033669700,,customer
000293,22685,BULZEYE MARINE SYSTEMS            ,5122672560,,customer
000036,22310,BURGESS SPECIALTY FABRICATING INC. ,7134620293,,customer
000488,22444,BURTON BALDRIDGE ARCHITECTS        ,5124411700,,customer
000513,22482,BYPASS MOBILE                      ,5122916192,,customer
000582,22819,C4ATS                              ,4072063886,,customer
000431,22872,CACI                               ,2109798989,,customer
000394,22849,CAMERON                           ,2815042511,,customer
000474,22434,CAMERON PETRECO PROCESS SYSTEMS    ,7138497500,,customer
000462,22423,CAMERON R&D                        ,7133694144,,customer
000468,22428,CAMERON VALVES AND MEASUREMENTS    ,5015705648,,customer
000540,22503,CANON NANOTECH INC.                ,5123397760,,customer
000642,22851,"CAPCO, LLC",9702438750,,customer
000623,22827,"CAPITAL BENDING, LLC.              ",5125730713,,customer
000091,22372,"CAPROCK MANUFACTURING, INC         ",8067456454,,customer
000066,22340,"CARBOMEDICS, INC.                  ",5124353388,,customer
,415166,Cardinal CG,9729371708,,customer
000100,22379,CARLTON-BATES COMPANY              ,5129295253,,customer
000606,22560,CARNEGIE TECHNOLOGIES              ,5129216156,,customer
000269,22702,CARTECH                           ,2103331642,,customer
000087,22368,"CARY CON, INC.                     ",5125278595,,customer
000344,22806,CATCHER INC                       ,9259498309,,customer
000498,22453,CATERPILLAR                        ,3615743618,,customer
000448,22752,CBG CORPORATION                    ,5124917541,,customer
000078,22357,CDS GROUP                          ,5128343500,,customer
000075,22354,CELERITY - CALIFORNIA              ,4089463100,,customer
000399,22733,CELERITY FLUID SYSTEMS PTE LTD    ,6567447041,,customer
000306,22784,"CELERITY, INC. - ALLEN            ",,,customer
000230,22656,CELERITY - IRELAND                ,5318247139,,customer
000514,22483,CELESTICA                          ,5034656000,,customer
000212,22621,CELESTICA CORPORATION (AUSTIN)    ,,,customer
000428,22868,CELTIC LEASING CORP.               ,7139345212,,customer
,306640,Cesium,3306975320,,customer
000715,699106,CesiumAstro,,,customer
000089,22370,CES MOLD & DESIGN                  ,5127591538,,customer
000282,22693,CFAN                              ,5123532832,,customer
000437,22877,C&F TOOL & DIE COMPANY             ,2105229310,,customer
000286,22696,CHARMED LABS LLC                  ,5122204525,,customer
000115,22393,"CHATSWORTH PRODUCTS, INC.          ",5128686000,,customer
,777646,Cherokee Federal,,,customer
000527,22492,CHOICE BAGGING EQUIPMENT           ,5123523694,,customer
,422886,Cincinnati Fan,9374308802,,customer
000281,22673,CIRCULAR SCIENCE                  ,6016462767,,customer
,495334,CKD USA,7374840330,,customer
,487822,"Clackamas Steel & Mfg., inc.",5036565028,,customer
000291,22666,CLEAN FUELING TECHNOLOGIES        ,5129428300,,customer
,498191,Climate Engineers,,,customer
000104,22382,"CLOCKWORKS MFG, C.N.C. SPECIALIST  ",2108342824,,customer
,419102,Closets by Design - Palm Beach,7722105398,,customer
,437262,CNH Industrial,3069200441,,customer
,28487,Coastline High Performance,,,customer
000564,22793,COBALT AERO SERVICES               ,5016237211,,customer
000309,22765,"COLDWATT, INC.                    ",5124394900,,customer
,417849,College of Southern Nevada (South),7026513000,,customer
,227219,Collins Aerospace,,,customer
000216,22625,"COLUMBIA INDUSTRIES, INC.         ",2103449211,,customer
000202,22636,COMPLETE PROTOTYPE SERVICE'S INC. ,5864699155,,customer
000302,22781,"COMSONICS, INC.                   ",5404345965,,customer
000053,22325,CONCEPT SERVICES                   ,5123433100,,customer
000270,22703,CONCURRENT DESIGN AND DRAFTING    ,5122198501,,customer
000388,22821,"CONMEDISYS, INC.                  ",5122999611,,customer
000600,22551,CONSOLIDATED METAL TECHNOLOGIES    ,5122559296,,customer
000561,22530,CONTROL PRODUCTS CORPORATION       ,9722640368,,customer
000580,22538,COOLTRAX AMERICAS                  ,5128793067,,customer
000504,22459,"CORDY DRILLING INNOVATIONS, LTD    ",2102818542,,customer
,423407,Corpus Christi Army Depot,3619616360,,customer
000027,22302,CORRECTIONS PRODUCTS CO.           ,2108297951,,customer
000133,22603,CORTEC PRECISION SHEETMETAL        ,5129272909,,customer
,754875,Corten Studio,3104906098,,customer
,722966,Cox & Company Inc.,2123660200,,customer
000575,22818,CPI PRODUCTS                       ,8777562388,,customer
000420,22862,CPP-PORT HUENEME                   ,8054886451,,customer
000435,22874,CPP-RANCHO                         ,8054886451,,customer
000471,22431,CRATERS & FREIGHTERS               ,5123261627,,customer
,303360,Creative 3D Technologies,,,customer
000354,22830,CREATIVE TECHNOLOGY SERVICES      ,7342072600,,customer
000158,22522,"CRI DIVISION RSI, INC.            ",5123867500,,customer
,34862,CR Wealth Solutions,,,customer
000443,22406,"CTS, LP                            ",7139345257,,customer
000619,22581,CURTISS-WRIGHT CONTROLS            ,7048694680,,customer
,28515,Custom Coils,7077528633,,customer
,652267,Cutting Dynamics,4402494175,,customer
000178,22465,CYPRESS INDUSTRIES                ,5122490999,,customer
,394244,Daily Thermetrics Corporation,7137808600,,customer
,43629,david@terradepth.com,,,customer
000620,22826,DAYTON ROGERS OF TEXAS,7637847714,,customer
000432,22875,DBA REALTY RESTORATION             ,,,customer
000022,22299,"DEATON ENGINEERING, INC.           ",5129309908,,customer
,493536,Defence Research and Development Canada (DRDC),,,customer
000140,22609,DELL PRODUCTS L.P                  ,,,customer
000425,22775,DELTA G DESIGN                     ,2542357676,,customer
000163,22404,DELTA TECHNOLOGY CORPORATION      ,7134647407,,customer
,444854,"DEMCO Manufacturing, Inc.",9368294771,,customer
000117,22395,DENICHI COMPUTER DEVICES           ,5128372655,,customer
000545,22509,DENISON INDUSTRIES                 ,9037866526,,customer
000284,22674,DESIGN EDGE                       ,5124775491,,customer
000375,22841,"DESIGN OCTAVES, INC               ",8314648500,,customer
000308,22764,DETCON INC.                       ,2813674100,,customer
000225,22642,DIAGNOSTIC SYSTEMS LABORATORIES   ,2813329678,,customer
000026,22301,DICKEY MANUFACTURING CO.           ,6305842918,,customer
000119,22362,DIGITAL SCULPTURES COMPANY         ,3144344905,,customer
000367,22835,DISPERSOL TECHNOLOGIES            ,5123433677,,customer
000024,22306,"D&N TOOL, INC.                     ",5123417405,,customer
000018,22294,DO NOT USE                         ,,,customer
000372,22745,DO NOT USE CPP                     ,8054886451,,customer
000227,22643,DO NOT USE SEE #241 SB ZEBRA IMAG ,5122515100,,customer
000146,22613,DO NOT USE. USE #162 INSTEAD LG    ,8005388450,,customer
,493605,Doosan Bobcat,,,customer
,420811,Douglas Machine Inc.,3207626318,,customer
000181,22468,DOWNS FORD MOTORSPORT             ,7323492240,,customer
000150,22572,DRESSER INDUSTRIA E COMERCIO LTDA ,,,customer
,415359,DREX Trade Inc.,,,customer
000496,22451,DUCOMMUN AEROSTRUCTURES,6263583211,,customer
000572,22535,DUCOMMUN INCORPORATED,5187312795,,customer
000221,22629,"DUCOMMUN LABARGE, INC. (HUNTSVILLE,",4797382191,,customer
,385199,Duncan Manufacturing Solutions,4024752611,,customer
000392,22751,DUNCAN SERVICES                   ,9797584603,,customer
,369090,Durex Industries,,,customer
,388855,Durex Products Inc,7154722111,,customer
000164,22578,DVC COMPANY                       ,5123019564,,customer
,745505,DWFritz Automation,5036824773,,customer
000553,22516,"DYNAMIC MANUFACTURING, LLC         ",5124863635,,customer
,446253,Dynavac,7817408600,,customer
000363,22795,EAGLE BOBSLED                     ,3106120805,,customer
000019,22295,EAGLE RACING TIRES                 ,5124420401,,customer
000003,22282,EASTMAN KODAK CO.                  ,5126516200,,customer
,612987,East West Manufacturing Enterprises,5122582303,,customer
000201,22649,EATON HYDRAULICS                  ,9522947959,,customer
,419267,Ebaluminum,7872051959,,customer
000353,22809,EEI MANUFACTURING SERVICES        ,7274614755,,customer
000209,22618,"EFD, INC.                         ",4014341680,,customer
000452,22409,E FUELING TECHNOLOGIES             ,5128352273,,customer
,395487,EIP Manufacturing LLC,8009422226,,customer
000175,22472,"ELAN MOTORSPORTS TECHNOLOGIES, INC.",7708670903,,customer
000012,22290,ELAN POWER PRODUCTS                ,7066582857,,customer
000229,22645,ELECTROL SYSTEMS                  ,2105996485,,customer
,396766,Electro-Metrics Corporation,5187622600,,customer
000501,22456,"ELECTRO-MOTIVE DIESEL, INC.        ",,,customer
000638,22599,ELLIOTT TOOL TECHNOLOGIES          ,9372536133,,customer
000251,22646,ELLISON MARINE                    ,9798284729,,customer
,461282,Elma Electronic,5106563400,,customer
000154,22521,EMBEDDED SYSTEMS DESIGN           ,8304010919,,customer
,27251,Embee Processing,,,customer
000141,22610,"EMIT, INC.                         ",5129289444,,customer
000042,22318,EMJ                                ,8003923361,,customer
000507,22462,EMTEQ INC.                         ,2626796170,,customer
000508,22284,"ENFLITE, INC.                      ",5128683399,,customer
000502,22457,ENO AMPLIFIERS LLC                 ,5128264807,,customer
000658,26029,Entegris,5122445281,,customer
,422890,"Enterprise Precast Concrete of Texas, LLC",9038751077,,customer
000062,22336,ENVIROPAK CORP.                    ,3147391202,,customer
000612,22566,ERICKSON TRUCKS                    ,,,customer
000605,22558,ESPY CORPORATION                   ,5122611016,,customer
000567,22817,ETHIOPIAN AIRLINES                 ,2515178407,,customer
000134,22604,ETS LINDGREN                       ,5125316400,,customer
000328,22813,EVERGREEN SOLUTIONS               ,5123890625,,customer
,52318,Everi,,,customer
000086,22367,EXACT SYSTEMS CORPORATION          ,5127965999,,customer
000459,22420,EXCEL DIRECTIONAL TECHNOLOGIES     ,5122668887,,customer
,437265,F3 Engineering,9734422290,,customer
000525,22490,"FABWORX SOLUTIONS, INC.            ",9726900800,,customer
000161,22525,FALK SUPPLY COMPANY               ,5123211231,,customer
000377,22837,FALK SUPPLY COMPANY - LITTLE ROCK ,5016643911,,customer
000017,22293,"FARO TECHNOLOGIES, INC.            ",4073339911,,customer
,421844,"Fathom Manufacturing, LLC",2623678254,,customer
000410,22856,F&D DEFENSE                        ,9036461927,,customer
000396,22754,"FERGUSON ENTERPRISES, INC. #781   ",5129335447,,customer
,420805,Ferrara Fire Apparatus,2255677100,,customer
,29016,Festo,,,customer
000458,22419,FIBERIO TECHNOLOGY CORP            ,9562075448,,customer
,385418,Fike Corporation,8009373453,,customer
000616,22570,FIREFLY AEROSPACE INC              ,,,customer
000215,22624,"FLAME TECHNOLOGIES, INC           ",5122198481,,customer
000476,22760,FLARE INDUSTRIES                   ,5128369473,,customer
000208,22617,"FLEA MEDICAL, INC.                ",6362276648,,customer
000279,22692,FLEXTRONICS                       ,2812953211,,customer
000599,22550,FLOODBREAK LLC                     ,7136299172,,customer
,388666,"FlowBelow Aero, Inc.",5125205350,,customer
000472,22432,"FLOWTEK, FLUOR DANIELS             ",8329122300,,customer
000499,22454,FMC TECHNOLOGIES                   ,3612893495,,customer
000204,22615,FOCUS INDUSTRIES CORP.            ,5124314455,,customer
000345,22807,"FORCE PROTECTION, INC.            ",8437407015,,customer
,28910,Fore Aero,,,customer
000593,22548,FORE MACHINE COMPANY INC           ,8178346251,,customer
,154797,Formaspace,,,customer
000538,22501,FOUR POINTS PLATINUM MACHINING     ,5125887916,,customer
000636,22591,FOXCONN                            ,,,customer
,292447,"Fox Robotics, Inc.",5122848591,,customer
000155,22576,"FREEDOM POWER SYSTEMS, INC.       ",5122590941,,customer
,722104,FRENCKEN MECHATRONICS,,,customer
000516,22485,FRONTIER ELECTRONIC SYSTEMS        ,4056245303,,customer
,498205,Frontier Electronic Systems Corp,4053727601,,customer
,414983,Frontmatec inc,8168912440,,customer
000371,22838,FROZEN BEVERAGE DISPENSERS        ,2106372835,,customer
,112398,Fuego Living,,,customer
000509,22479,FUTUREX,8309809782,,customer
000300,22779,"GALAXY MICROSYSTEMS, INC          ",5123394204,,customer
,592827,Gamma Aerospace,8174772193,,customer
000584,22825,GARRISON ARMS                      ,2100364425,,customer
000391,22750,"GATE MOLD, INC.                   ",5122553470,,customer
000128,22363,"GE ENERGY, LLC                     ",3024512673,,customer
000577,22533,GEMCITY ENGINEERING & MANUFACTURING,9372235544,,customer
,419274,Gemini Bakery Equipment Company,2156733520,,customer
,388651,Gem State Metals,2088559200,,customer
000054,22326,"GENERAL PATTERN CO., INC.          ",7637803518,,customer
000615,22569,GEOPHYSICAL SUPPLY COMPANY         ,7136664100,,customer
000180,22467,GERDES INSTRUMENTS                ,7138960349,,customer
,385445,Gfs supply & services company Inc,9736797318,,customer
,493714,"Ghafari Associates, LLC",3138203849,,customer
000550,22514,GKN AEROSPACE                      ,3342839224,,customer
000067,22341,"GLOBAL RAPID TECH, INC.            ",4019495826,,customer
000192,22632,"GLOBAL SOURCING & CONSULTING, INC ",4073239983,,customer
,414713,Golden Touch Handyman Services,8084378470,,customer
,27256,Gold Tech Industries,,,customer
000033,22313,"GP COMPANIES, INC.                 ",6514546500,,customer
000413,22860,GREENE TWEED & CO. PTE LTD.       ,8636568585,,customer
000358,22746,GREGOIRE PRODUCTS GROUP LP        ,8306267725,,customer
000009,22285,"GUARDIAN INSTRUMENTS, INC.         ",5122603554,,customer
,394659,Gudgeon,,,customer
,375297,Gulfstream Aerospace Corporation,9122514055,,customer
000393,22732,"GYRODATA, INC.                    ",7134613146,,customer
000276,22669,H2O EVOLUTION                     ,5126330394,,customer
,376905,H3 Dynamics,5125848027,,customer
000489,22776,HAGBROS PRECISION                  ,5123419368,,customer
000565,22798,HAGEMEYER                          ,2013383064,,customer
000360,22742,HALLIBURTON ENERGY SERVICES       ,2818716205,,customer
,427312,Hammond Manufacturing,5198222960,,customer
,27253,HAR-CONN - TX,,,customer
000702,570233,Harmonic Bionics,2282345889,,customer
000621,22582,"HARRISON ELECTROPOLISHING, LP      ",8324673100,,customer
,494287,Hartwell Corporation,,,customer
,465807,Haul-All Equipment Ltd.,8884285255,,customer
,466374,H.C. Starck GmbH,,,customer
,385222,HDR Inc,4023991000,,customer
000340,22805,HEARTLAND AUTOMOTIVE SERVICES     ,4023330990,,customer
,447608,Hella Automotive Mexico,5543619465,,customer
000398,22853,HEMIWEDGE VALVE CORPORATION       ,9365395770,,customer
000194,22470,HEMMINGER CONSTRUCTION            ,3306664166,,customer
,414769,"Henry Graphics, Inc.",7709323222,,customer
000058,22332,HERCON INSTRUMENTS                 ,2819552360,,customer
000632,22590,HERD NORTH AMERICA                 ,,,customer
000127,22401,HEWLETT-PACKARD COMPANY            ,8003255372,,customer
000109,22360,HEWLETT-PACKARD CS                 ,8003255372,,customer
000543,22507,HID GLOBAL                         ,5127769420,,customer
000120,22397,"HIGH END SYSTEMS, INC.             ",5128362242,,customer
,395603,Hill Air Force Base,8017775201,,customer
,429269,Hilldale Colony,4068790680,,customer
000523,22493,HILLER MEASUREMENTS                ,5123948356,,customer
000143,22611,"HILLIARD TECHNOLOGIES, INC.        ",8174887178,,customer
,450240,Hitachi-PES,9284626949,166,customer
000426,22864,HOUSE AND EARTH                    ,5124447900,,customer
000014,22296,HOWMET GEORGETOWN CASTING          ,2318947984,,customer
000102,22381,HP - AUSTIN                        ,8774727469,,customer
000370,22748,"HPI CORPORATE SERVICES, LLC       ",5128354455,,customer
000486,22443,HUP FATT BROTHERS ENGINEERING PTE  ,6567537135,,customer
000634,22537,HURST JAWS OF LIFE                 ,,,customer
000624,22583,HYLIION                            ,5122025412,,customer
,27252,Hytek Finishes,,,customer
000030,22304,ICHOR SYSTEMS,5122465570,,customer
000510,22435,ICHOR SYSTEMS SINGAPORE PTE LTD,14452,,customer
000238,22676,IDAHO NATIONAL LAB,5128730033,,customer
000631,22594, IDAHO NATIONAL LABORATORY,2085263157,,customer
,32062,IDEX Corp.,,,customer
000190,22630,ID-ONE                            ,5124730026,,customer
000405,22846,ILLUMITEX                         ,5122795020,,customer
,427309,"IMH Products, Inc",3172525566,,customer
,356923,INDICON,6109163993,,customer
000149,22520,INDUS INSTRUMENTS                 ,2812861130,,customer
,32437,Industial Service Solutions,,,customer
000247,22680,"INDUSTRIAL DATA WORKS, INC.       ",5124531720,,customer
000079,22346,INDUSTRIAL FABRICATORS             ,3612890901,,customer
,423993,Industrial Mill & Maintenance,8005371218,,customer
,415105,Industrial Welding & Fabricating Co,7164831411,,customer
000304,22783,INFINITE RESPONSE                 ,5125355599,,customer
000135,22605,"INGENUITY  CONCEPTS, LLC           ",6517654700,,customer
000506,22461,INNOVARI,5123182154,,customer
000254,22651,"INNOVATIVE ELECTRONICS, INC.      ",2812407355,,customer
000097,22376,"INSITU, INC.                       ",5129703204,,customer
000057,22331,INTEGRATED MFG. TECHNOLOGIES       ,5126702500,,customer
000325,22811,INTEGRICO COMPOSITES              ,2547436400,,customer
,480482,Intercontinental Truck Body,,,customer
000379,22770,IREX GROUP LTD                    ,5126824801,,customer
,451399,Irving Shipbuilding Inc.,9024239271,,customer
000355,22831,ISOCHRON                          ,5127322600,,customer
,747111,IT8,7372622984,,customer
000626,22584,ITEC                               ,8665748823,,customer
000674,22953,Jabil,,,customer
000639,22595,JABIL LUXEMBOURG MFG SARL - MEXICO ,,,customer
,22740,JACOBS INC,2146380145,,customer
,458323,Janicki Industries,3853197876,,customer
000549,22512,JAVIER ORTIZ                       ,5125526373,,customer
000318,22727,JERED PAR                         ,9122622000,,customer
,392866,JJG Aero Pvt Ltd,9198801206,,customer
000224,22641,JLJ UNITED                        ,5127337133,,customer
000069,22343,JL PRECISION                       ,,,customer
000064,22338,JMC PRODUCTS                       ,5128348866,,customer
000536,22513,"JOHNSON & SONS MFG, INC            ",5122852462,,customer
000061,22335,JOHNSTON PUMP                      ,2819346009,,customer
000530,22496,JP3 MEASUREMENTS LLC               ,5124223911,,customer
,435245,Kadant LLC,5136003884,,customer
,607100,Kairos Power,,,customer
000021,22298,KALINA MACHINABILITY               ,5122475345,,customer
,408725,Kane Aerospace,5624323276,,customer
000703,494396,Kane Robotics Inc,,,customer
000622,22587,KBG WELDING                        ,5122215059,,customer
,477333,KEMIKON SDN. BHD.,,,customer
000110,22361,"KEY FUNCTIONAL ASSESSMENTS, INC.   ",7607292732,,customer
,372355,Killdeer Mountain Manufacturing Inc.,7017645651,,customer
000641,22843,KIRT BUTLER,,,customer
000460,22421,"KLN STEEL PRODUCTS CO., LLC        ",2102274747,,customer
000566,22799,KLX AEROSPACE SOLUTIONS            ,3166304923,,customer
000326,22812,KODIAK ASSEMBLY                   ,5122751700,,customer
000547,22511,"KOMICO TECHNOLOGY, INC             ",5122382400,,customer
000441,22402,KORRY ELECTRONICS ESTERLINE        ,4252979700,,customer
000395,22753,KROHN RACING                      ,7709650835,,customer
000461,22422,KUSTOM KRATES                      ,5122729651,,customer
,162313,Kval Inc.,8005535825,,customer
000116,22394,"KWD MANUFACTURING, INC.            ",2109245999,,customer
000321,22729,"L2 CONSULTING SERVICES, INC.      ",5128943414,,customer
